customer_id,tr_datetime,mcc_code,tr_type,amount,term_id
39026145,0 10:23:26,4814,1030,-2245.92,
39026145,1 10:19:29,6011,7010,56147.89,
39026145,1 10:20:56,4829,2330,-56147.89,
39026145,1 10:39:54,5499,1010,-1392.47,
39026145,2 15:33:42,5499,1010,-920.83,
39026145,2 15:53:49,5541,1010,-14643.37,
39026145,3 15:29:08,5499,1010,-1010.66,
39026145,4 12:11:57,5200,1010,-2829.85,
39026145,5 15:19:19,5499,1010,-628.86,
39026145,6 07:08:31,4814,1030,-5614.79,
39026145,7 14:23:17,5541,1010,-14643.37,
39026145,7 14:40:02,5499,1010,-3458.71,
39026145,8 06:49:35,5732,1010,-21897.68,
39026145,8 06:55:51,6011,2010,-4491.83,
39026145,8 07:06:10,4814,1030,-1122.96,
39026145,8 14:53:22,5499,1010,-628.86,
39026145,10 13:00:24,6010,7020,224591.58,
39026145,11 08:49:03,4814,1030,-2245.92,
39026145,11 08:50:03,6011,2010,-44918.32,
39026145,11 14:11:48,6011,2010,-4491.83,
39026145,11 14:12:08,4814,1030,-2245.92,
39026145,11 14:15:30,4814,1030,-2245.92,
39026145,13 11:17:34,4814,1030,-2245.92,
39026145,13 11:19:03,6011,2010,-145984.53,
39026145,13 14:06:46,6011,2010,-898366.31,
39026145,13 14:09:00,4829,2330,-22459.16,
39026145,14 14:29:40,5541,1010,-4873.64,
39026145,14 14:30:20,5541,1010,-14643.37,
39026145,15 00:00:00,5331,1110,-6288.56,
39026145,15 00:00:00,5331,1110,-1122.96,
39026145,15 00:00:00,5331,1110,-22683.75,
39026145,15 00:00:00,5331,1110,-1010.66,
39026145,15 04:05:40,5732,1010,-17630.44,
39026145,16 04:27:37,5541,1010,-43391.09,
39026145,16 06:46:43,5200,1010,-2807.39,
39026145,18 07:39:05,4814,1030,-2245.92,
39026145,18 09:56:23,5331,1010,-9769.73,
39026145,18 10:05:01,5541,1010,-3660.84,
39026145,19 13:24:35,4814,1030,-449.18,
39026145,19 13:25:31,4814,1030,-1122.96,
39026145,21 12:09:42,5912,1010,-741.15,
39026145,22 05:47:06,4814,1030,-2245.92,
39026145,23 12:02:29,6011,7010,22459.16,
39026145,23 12:49:27,4814,1030,-1122.96,
39026145,23 16:56:44,5541,1010,-14778.13,
39026145,24 00:00:00,5331,1110,-449.18,
39026145,24 00:00:00,5331,1110,-3368.87,
39026145,26 00:00:00,5499,1110,-2919.69,
39026145,26 00:00:00,5411,1110,-561.48,
39026145,26 00:00:00,5499,1110,-4491.83,
39026145,27 00:00:00,5499,1110,-1010.66,
39026145,27 13:06:24,5499,1010,-1392.47,
39026145,27 13:09:21,5499,1010,-4357.08,
39026145,27 13:09:21,5499,1010,-471.64,
39026145,27 14:46:55,5499,1010,-4087.57,
39026145,27 15:41:56,5541,1010,-14778.13,
39026145,28 05:26:32,5912,1010,-12044.85,
39026145,28 05:33:53,5912,1010,-15267.74,
39026145,28 06:52:43,5499,1010,-1617.06,
39026145,28 10:16:23,6011,2010,-44918.32,
