customer_id,tr_datetime,mcc_code,tr_type,amount,term_id
83063340,161 21:10:14,4814,1030,-4491.83,
83063340,162 00:00:00,5411,1110,-77500.94,
83063340,162 00:00:00,5651,1110,-24682.61,
83063340,162 00:00:00,5699,1110,-11207.12,
83063340,163 00:00:00,5261,1110,-58438.73,
83063340,163 00:00:00,5681,1110,-2021099.6,
83063340,163 15:02:01,5812,1010,-10331.21,
83063340,163 18:40:36,4814,1030,-4491.83,
83063340,164 00:00:00,5411,1110,-15541.74,
83063340,164 14:19:27,5699,1010,-19719.14,
83063340,164 15:45:27,5977,1010,-32341.19,
83063340,164 16:21:54,5611,1010,-92307.14,
83063340,165 17:47:52,5812,1010,-167689.06,
83063340,167 00:00:00,5651,1110,-28073.95,
83063340,167 20:29:34,4814,1030,-2245.92,
83063340,169 00:00:00,5411,1110,-92677.71,
83063340,169 20:13:48,5812,1010,-136282.17,
83063340,171 19:43:52,5812,1010,-28073.95,
83063340,172 00:00:00,5541,1110,-18843.91,
83063340,174 17:47:49,4814,1030,-4491.83,
83063340,177 00:00:00,5812,1110,-25828.03,
83063340,177 16:45:59,5411,1010,-23988.63,
83063340,177 16:54:59,5411,1010,-11822.95,
83063340,179 17:46:41,5541,1010,-12173.99,
83063340,179 20:22:31,4814,1030,-11229.58,
83063340,180 00:00:00,8099,1110,-68275.84,
83063340,180 00:00:00,5541,1110,-29957.15,
83063340,183 16:17:07,5992,1010,-40201.89,
83063340,186 18:06:16,5541,1010,-12122.11,
83063340,187 13:25:04,5541,1010,-12447.99,
83063340,188 13:16:58,5541,1010,-16381.71,
83063340,189 00:00:00,4112,6100,15092.55,
83063340,189 18:26:39,5411,1010,-9113.93,
83063340,190 00:00:00,5541,1110,-38616.28,
83063340,190 13:07:22,5912,1010,-78651.97,
83063340,190 13:41:16,5411,1010,-40690.83,
83063340,190 14:23:44,5411,1010,-38414.14,
83063340,196 21:45:37,6011,2010,-67377.47,
83063340,197 00:00:00,5541,1110,-15909.39,
83063340,197 12:12:14,5691,1010,-29196.91,
83063340,197 12:20:09,5992,1010,-49971.63,
83063340,197 17:26:18,4814,1030,-6737.75,
83063340,197 20:03:19,5812,1010,-175967.5,
83063340,198 16:33:01,4814,1030,-3368.87,
83063340,198 18:46:37,5411,1010,-17545.09,
83063340,199 18:30:09,5411,1010,-5103.62,
83063340,200 20:40:28,5812,1010,-27624.76,
83063340,201 18:44:17,5999,1010,-50712.78,
83063340,203 13:58:17,5499,1010,-2650.18,
83063340,203 15:41:19,6011,2010,-67377.47,
83063340,204 00:00:00,5812,1110,-12577.13,
83063340,204 00:00:00,5541,1110,-35486.37,593248
83063340,204 15:30:42,5813,1010,-64345.49,
83063340,204 17:45:19,5995,1010,-9500.22,
