customer_id,tr_datetime,mcc_code,tr_type,amount,term_id
49971781,413 18:25:15,6010,7070,112295.79,888910
49971781,413 18:34:27,4829,2370,-224591.58,888902
49971781,415 15:49:28,6010,7070,38180.57,888990
49971781,417 19:59:37,4829,2370,-561478.94,888993
49971781,418 11:24:08,6010,7070,15721.41,945002
49971781,420 00:00:00,4814,1030,-2245.92,889001
49971781,421 14:21:12,4814,1030,-4491.83,888929
49971781,422 00:00:00,5192,1100,-22459.16,24022241
49971781,423 04:04:21,4829,2370,-6737.75,888992
49971781,424 14:32:34,6011,2010,-89836.63,334370
49971781,424 14:58:14,5499,1010,-21336.2,10209044
49971781,424 23:20:07,4814,1030,-2245.92,889001
49971781,428 12:22:50,4814,1030,-2245.92,889001
49971781,429 00:38:13,6010,7030,673774.73,629857
49971781,429 16:02:47,4829,2370,-48287.19,888987
49971781,429 16:02:43,6010,7070,48287.19,888987
49971781,432 10:40:22,4814,1030,-2245.92,889001
49971781,436 23:05:30,4814,1030,-2245.92,889001
49971781,439 10:59:27,6010,7070,2245.92,945001
49971781,443 00:00:00,7299,1100,-22459.16,24022251
49971781,443 17:40:05,8999,1010,-4491.83,10244893
49971781,443 18:19:43,4814,1030,-2245.92,889003
49971781,446 21:38:48,4814,1030,-2245.92,889001
49971781,447 19:39:48,4829,2370,-112295.79,888909
49971781,447 19:39:40,6010,7070,112295.79,888909
49971781,449 15:38:12,4814,1030,-2245.92,889000
49971781,450 09:34:53,4829,2370,-5614.79,888993
49971781,452 23:03:08,4814,1030,-2245.92,889003
23509423,2 00:00:00,5734,1110,-23357.52,
23509423,2 10:57:51,4814,1030,-4491.83,
23509423,2 13:55:56,6011,2010,-11229.58,
23509423,5 12:14:00,6011,2010,-22459.16,
23509423,5 20:16:33,4814,1030,-11229.58,
23509423,8 00:00:00,5912,1110,-8759.07,
23509423,8 00:00:00,5912,1110,-1781.01,
23509423,8 00:00:00,5541,1110,-33688.74,
23509423,9 01:14:18,4814,1030,-4491.83,
23509423,9 14:18:14,5946,1010,-30670.23,
23509423,11 00:00:00,5912,1110,-3593.47,
23509423,11 14:13:25,4829,4071,-7344.14,
23509423,11 14:13:11,4829,2371,-734414.46,
23509423,11 20:03:51,6011,2010,-112295.79,
23509423,12 18:37:00,4814,1030,-17967.33,
23509423,14 14:58:11,5411,1010,-67148.17,
23509423,16 00:00:00,4112,1100,-152277.58,
23509423,16 01:22:28,4814,1030,-4491.83,
23509423,17 00:00:00,4112,1110,-128448.41,
23509423,17 07:25:14,5812,1010,-23582.12,
23509423,17 13:49:05,5812,1010,-74205.06,
23509423,17 21:16:51,4814,1030,-11229.58,
23509423,18 00:00:00,5541,1110,-33688.74,
23509423,18 13:28:31,7542,1010,-11004.99,
23509423,18 15:15:02,6011,2011,-56147.89,
23509423,18 19:09:05,6010,7030,770349.11,
23509423,18 19:13:53,6010,7030,89836.63,
23509423,19 00:00:00,5541,1110,-43810.85,
23509423,19 11:26:40,4829,2370,-336887.37,
23509423,19 12:25:35,6011,2011,-89836.63,
23509423,19 22:22:50,6011,2010,-449183.15,
23509423,20 00:00:00,5541,1110,-44918.32,
23509423,20 00:00:00,5541,1110,-40424.91,
